county,year,year_month,total_crime_guns,ghost_guns,population,ghost_guns_per_100k
Alameda,2010,2010-01-01,39,0,1510271,0
Alameda,2010,2010-02-01,60,0,1510271,0
Alameda,2010,2010-03-01,198,0,1510271,0
Alameda,2010,2010-04-01,111,0,1510271,0
Alameda,2010,2010-05-01,85,0,1510271,0
Alameda,2010,2010-06-01,128,0,1510271,0
Alameda,2010,2010-07-01,83,0,1510271,0
Alameda,2010,2010-08-01,71,0,1510271,0
Alameda,2010,2010-09-01,80,0,1510271,0
Alameda,2010,2010-10-01,146,0,1510271,0
Alameda,2010,2010-11-01,109,0,1510271,0
Alameda,2010,2010-12-01,136,0,1510271,0
Alameda,2011,2011-01-01,128,0,1527169,0
Alameda,2011,2011-02-01,129,0,1527169,0
Alameda,2011,2011-03-01,145,0,1527169,0
Alameda,2011,2011-04-01,148,0,1527169,0
Alameda,2011,2011-05-01,116,0,1527169,0
Alameda,2011,2011-06-01,128,0,1527169,0
Alameda,2011,2011-07-01,149,0,1527169,0
Alameda,2011,2011-08-01,144,0,1527169,0
Alameda,2011,2011-09-01,94,0,1527169,0
Alameda,2011,2011-10-01,73,0,1527169,0
Alameda,2011,2011-11-01,74,0,1527169,0
Alameda,2011,2011-12-01,110,0,1527169,0
Alameda,2012,2012-01-01,125,0,1549193,0
Alameda,2012,2012-02-01,173,0,1549193,0
Alameda,2012,2012-03-01,228,0,1549193,0
Alameda,2012,2012-04-01,138,0,1549193,0
Alameda,2012,2012-05-01,88,0,1549193,0
Alameda,2012,2012-06-01,92,0,1549193,0
Alameda,2012,2012-07-01,151,0,1549193,0
Alameda,2012,2012-08-01,111,0,1549193,0
Alameda,2012,2012-09-01,113,0,1549193,0
Alameda,2012,2012-10-01,121,0,1549193,0
Alameda,2012,2012-11-01,134,0,1549193,0
Alameda,2012,2012-12-01,169,0,1549193,0
Alameda,2013,2013-01-01,115,0,1575139,0
Alameda,2013,2013-02-01,98,0,1575139,0
Alameda,2013,2013-03-01,86,0,1575139,0
Alameda,2013,2013-04-01,97,0,1575139,0
Alameda,2013,2013-05-01,140,0,1575139,0
Alameda,2013,2013-06-01,138,0,1575139,0
Alameda,2013,2013-07-01,186,0,1575139,0
Alameda,2013,2013-08-01,169,0,1575139,0
Alameda,2013,2013-09-01,159,0,1575139,0
Alameda,2013,2013-10-01,172,0,1575139,0
Alameda,2013,2013-11-01,130,0,1575139,0
Alameda,2013,2013-12-01,75,0,1575139,0
Alameda,2014,2014-01-01,209,0,1597747,0
Alameda,2014,2014-02-01,168,0,1597747,0
Alameda,2014,2014-03-01,118,0,1597747,0
Alameda,2014,2014-04-01,144,0,1597747,0
Alameda,2014,2014-05-01,118,0,1597747,0
Alameda,2014,2014-06-01,118,0,1597747,0
Alameda,2014,2014-07-01,144,0,1597747,0
Alameda,2014,2014-08-01,122,0,1597747,0
Alameda,2014,2014-09-01,132,2,1597747,0.1
Alameda,2014,2014-10-01,130,0,1597747,0
Alameda,2014,2014-11-01,134,0,1597747,0
Alameda,2014,2014-12-01,133,0,1597747,0
Alameda,2015,2015-01-01,89,0,1622205,0
Alameda,2015,2015-02-01,133,0,1622205,0
Alameda,2015,2015-03-01,92,0,1622205,0
Alameda,2015,2015-04-01,140,0,1622205,0
Alameda,2015,2015-05-01,137,0,1622205,0
Alameda,2015,2015-06-01,143,0,1622205,0
Alameda,2015,2015-07-01,149,0,1622205,0
Alameda,2015,2015-08-01,172,0,1622205,0
Alameda,2015,2015-09-01,146,0,1622205,0
Alameda,2015,2015-10-01,71,0,1622205,0
Alameda,2015,2015-11-01,147,0,1622205,0
Alameda,2015,2015-12-01,122,3,1622205,0.2
Alameda,2016,2016-01-01,113,0,1641983,0
Alameda,2016,2016-02-01,78,1,1641983,0.1
Alameda,2016,2016-03-01,86,0,1641983,0
Alameda,2016,2016-04-01,134,0,1641983,0
Alameda,2016,2016-05-01,113,0,1641983,0
Alameda,2016,2016-06-01,93,2,1641983,0.1
Alameda,2016,2016-07-01,78,1,1641983,0.1
Alameda,2016,2016-08-01,91,0,1641983,0
Alameda,2016,2016-09-01,76,2,1641983,0.1
Alameda,2016,2016-10-01,149,1,1641983,0.1
Alameda,2016,2016-11-01,148,3,1641983,0.2
Alameda,2016,2016-12-01,85,1,1641983,0.1
Alameda,2017,2017-01-01,103,1,1656919,0.1
Alameda,2017,2017-02-01,74,0,1656919,0
Alameda,2017,2017-03-01,125,0,1656919,0
Alameda,2017,2017-04-01,82,0,1656919,0
Alameda,2017,2017-05-01,99,1,1656919,0.1
Alameda,2017,2017-06-01,111,2,1656919,0.1
Alameda,2017,2017-07-01,79,0,1656919,0
Alameda,2017,2017-08-01,114,2,1656919,0.1
Alameda,2017,2017-09-01,88,1,1656919,0.1
Alameda,2017,2017-10-01,107,2,1656919,0.1
Alameda,2017,2017-11-01,87,4,1656919,0.2
Alameda,2017,2017-12-01,112,2,1656919,0.1
Alameda,2018,2018-01-01,76,0,1666247,0
Alameda,2018,2018-02-01,100,3,1666247,0.2
Alameda,2018,2018-03-01,118,3,1666247,0.2
Alameda,2018,2018-04-01,128,7,1666247,0.4
Alameda,2018,2018-05-01,91,0,1666247,0
Alameda,2018,2018-06-01,110,0,1666247,0
Alameda,2018,2018-07-01,89,2,1666247,0.1
Alameda,2018,2018-08-01,104,1,1666247,0.1
Alameda,2018,2018-09-01,133,3,1666247,0.2
Alameda,2018,2018-10-01,98,3,1666247,0.2
Alameda,2018,2018-11-01,121,4,1666247,0.2
